id,author,description,guid,to,likecount,link,pubdate,replycount,title,authorChannelUrl
14,@75bugle,Immature film nothing makes sense in it. Unrealistic and totally seems like someone wanted to put in everything from other movies😂,UgxDuLNCZNqa9PJy2FF4AaABAg,,0,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=UgxDuLNCZNqa9PJy2FF4AaABAg,2024-03-04 05:38:27,0,Immature film nothing makes sense in it. Unrealistic and totally seems like someone wanted to put in everything from other movies😂,http://www.youtube.com/@75bugle
15,@vnehavneha7580,Please yaar movie daal do,Ugx5cUBSuD8iWcTdHU14AaABAg,,0,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=Ugx5cUBSuD8iWcTdHU14AaABAg,2024-03-03 13:55:06,1,Please yaar movie daal do,http://www.youtube.com/@vnehavneha7580
16,@Wajid_z,Bhikaari,Ugx5cUBSuD8iWcTdHU14AaABAg.A0XXXr3eLT8A0e672FlBz-,@vnehavneha7580,0,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=Ugx5cUBSuD8iWcTdHU14AaABAg.A0XXXr3eLT8A0e672FlBz-,2024-03-06 12:29:26,0,Bhikaari,http://www.youtube.com/@Wajid_z
17,@Don-ir6mq,After watching this movie .i was scared .wooooh .. its only movie story or rich life life style😂 just kidding,UgwgiAVM5_0v_T8gmzp4AaABAg,,0,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=UgwgiAVM5_0v_T8gmzp4AaABAg,2024-02-25 22:59:15,0,After watching this movie .i was scared .wooooh .. its only movie story or rich life life style😂 just kidding,http://www.youtube.com/@Don-ir6mq
18,@SportsProMax,The BGM from 1:56 onwards is kick ass....that whistle sound uffffff WOW WOW....Vangaaaa is genious,UgyEft_t4bns8Qxxe9x4AaABAg,,0,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=UgyEft_t4bns8Qxxe9x4AaABAg,2024-02-24 06:54:55,0,The BGM from 1:56 onwards is kick ass....that whistle sound uffffff WOW WOW....Vangaaaa is genious,http://www.youtube.com/@SportsProMax
19,@rishabhkanthed9253,Gun supari done .mother fucker rasta.,UgzuYACkZKriaMbyy094AaABAg,,0,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=UgzuYACkZKriaMbyy094AaABAg,2024-02-24 02:00:47,0,Gun supari done .mother fucker rasta.,http://www.youtube.com/@rishabhkanthed9253
20,@varshanegi8213,Hamara smajjj kya ab ye sab accept kregga..ye sb kya dekh rhe hum,Ugy-4EMny4sreUSqhd94AaABAg,,0,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=Ugy-4EMny4sreUSqhd94AaABAg,2024-02-23 13:20:34,0,Hamara smajjj kya ab ye sab accept kregga..ye sb kya dekh rhe hum,http://www.youtube.com/@varshanegi8213
21,@arpit9180,Not a good film,UgyNrvpSv47HQtTz3Ph4AaABAg,,0,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=UgyNrvpSv47HQtTz3Ph4AaABAg,2024-02-22 09:03:19,0,Not a good film,http://www.youtube.com/@arpit9180
22,@imsamiurrahman,1:00 Pure Goosebumps 🔥💥,UgyMLlT9FCv18gXpR3B4AaABAg,,3,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=UgyMLlT9FCv18gXpR3B4AaABAg,2024-02-20 13:35:19,0,1:00 Pure Goosebumps 🔥💥,http://www.youtube.com/@imsamiurrahman
23,@user-wo9bw5tv7u,2:09 masterpiece ❤,UgwxHJ3aHJemd2FHEUV4AaABAg,,3,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=UgwxHJ3aHJemd2FHEUV4AaABAg,2024-02-20 03:36:59,0,2:09 masterpiece ❤,http://www.youtube.com/@user-wo9bw5tv7u
24,@vihankundargi4821,1:07 🔥🔥🔥🔥🔥,UgxzIeoEhsumZz_t3uB4AaABAg,,1,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=UgxzIeoEhsumZz_t3uB4AaABAg,2024-02-19 02:22:05,0,1:07 🔥🔥🔥🔥🔥,http://www.youtube.com/@vihankundargi4821
25,@jeetendragohel1251,2:09,Ugz29f5WhMVwzKWl8rJ4AaABAg,,1,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=Ugz29f5WhMVwzKWl8rJ4AaABAg,2024-02-17 02:24:41,0,2:09,http://www.youtube.com/@jeetendragohel1251
26,@Alexthegamer848,"'Bura je vekhand mei gaya, bura na miliya koye, je mei aapo dekheya, mujhko bura na koye'🔥🔥🔥🔥 1:08",UgzMnRrE3O9t5jo0RuB4AaABAg,,0,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=UgzMnRrE3O9t5jo0RuB4AaABAg,2024-02-16 17:30:44,0,"'Bura je vekhand mei gaya, bura na miliya koye, je mei aapo dekheya, mujhko bura na koye'🔥🔥🔥🔥 1:08",http://www.youtube.com/@Alexthegamer848
27,@bossgamer4965,Kgf code,Ugy02FqSfXfIwCDaCe54AaABAg,,1,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=Ugy02FqSfXfIwCDaCe54AaABAg,2024-02-16 12:37:46,0,Kgf code,http://www.youtube.com/@bossgamer4965
28,@yashp1nth,1:44,UgylZax2jJrHw5DuWEZ4AaABAg,,0,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=UgylZax2jJrHw5DuWEZ4AaABAg,2024-02-16 09:10:35,0,1:44,http://www.youtube.com/@yashp1nth
29,@vanessalionel7614,I love Ranbir but this was absolutely vulgar and garbage. They waited until he was married to have him making out with multiple women on screen??? Hindi film is becoming just like Hollywood. You can't tell the difference anymore,UgyMLepK1NNU0t239eR4AaABAg,,2,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=UgyMLepK1NNU0t239eR4AaABAg,2024-02-15 23:40:30,1,I love Ranbir but this was absolutely vulgar and garbage. They waited until he was married to have him making out with multiple women on screen??? Hindi film is becoming just like Hollywood. You can't tell the difference anymore,http://www.youtube.com/@vanessalionel7614
30,@rahul11308,yaa....now try four more shots,UgyMLepK1NNU0t239eR4AaABAg.A-ro0XGf9NTA0VKFEe_dv7,@vanessalionel7614,0,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=UgyMLepK1NNU0t239eR4AaABAg.A-ro0XGf9NTA0VKFEe_dv7,2024-03-02 17:20:29,0,yaa....now try four more shots,http://www.youtube.com/@rahul11308
31,@sumanyukumar5363,Pura picture ek taraf aur boby Deol ek taraf cheese for lord bobby,UgytbYExbNRi9lTIc314AaABAg,,0,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=UgytbYExbNRi9lTIc314AaABAg,2024-02-15 04:35:28,0,Pura picture ek taraf aur boby Deol ek taraf cheese for lord bobby,http://www.youtube.com/@sumanyukumar5363
32,@Berlin-jk8ep,👑 Ranbir's Acting 👌💥❤️ Love and crazyness for his father was superb💥❤❤❤,UgwCxeKYAeIACAUtPOx4AaABAg,,0,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=UgwCxeKYAeIACAUtPOx4AaABAg,2024-02-14 17:31:58,0,👑 Ranbir's Acting 👌💥❤️ Love and crazyness for his father was superb💥❤❤❤,http://www.youtube.com/@Berlin-jk8ep
33,@bugggerzhimo3246,loved it,UgyJ7W8HXWpEU-Wx3FV4AaABAg,,0,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=UgyJ7W8HXWpEU-Wx3FV4AaABAg,2024-02-14 13:20:59,0,loved it,http://www.youtube.com/@bugggerzhimo3246
34,@user-ov3kp7bv6k,00:03 Thinking about becoming a father 00:26 My father is the best father in the world 00:31 A suggestion for a wealthy individual to behave like a regular person 00:37 Gitanjali can ask me anything 00:51 I won't give an honest answer about dirty things 00:57 Learning from a father's guidance 01:19 No one more evil than me 01:52 Find him and don't despair Papa.,UgxMdgpxAZVDQjNCG1R4AaABAg,,1,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=UgxMdgpxAZVDQjNCG1R4AaABAg,2024-02-14 05:07:25,0,00:03 Thinking about becoming a father 00:26 My father is the best father in the world 00:31 A suggestion for a wealthy individual to behave like a regular person 00:37 Gitanjali can ask me anything 00:51 I won't give an honest answer about dirty things 00:57 Learning from a father's guidance 01:19 No one more evil than me 01:52 Find him and don't despair Papa.,http://www.youtube.com/@user-ov3kp7bv6k
35,@rudramanitiwari9224,इंडियन मूवी में अब वेस्टर्न मूवी जैसा फील हो रहा है छी,UgzoGAMaDkJZeSe3RyR4AaABAg,,2,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=UgzoGAMaDkJZeSe3RyR4AaABAg,2024-02-13 12:07:19,0,इंडियन मूवी में अब वेस्टर्न मूवी जैसा फील हो रहा है छी,http://www.youtube.com/@rudramanitiwari9224
36,@ChayanMukherjee-yj4px,1:44,Ugy87sp3Yfdn-CE0EvB4AaABAg,,0,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=Ugy87sp3Yfdn-CE0EvB4AaABAg,2024-02-12 02:24:44,0,1:44,http://www.youtube.com/@ChayanMukherjee-yj4px
37,@vikasrawal5899,Alia Bhatt Ranbir Kapoor Ko dekho😂😂,UgxMbLGYAyxLWPj4s8Z4AaABAg,,0,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=UgxMbLGYAyxLWPj4s8Z4AaABAg,2024-02-12 01:28:31,0,Alia Bhatt Ranbir Kapoor Ko dekho😂😂,http://www.youtube.com/@vikasrawal5899
38,@user-dw7vu8lf2v,Watched this movie 5 times. Please make such movies more vanga sir. Pls,UgzYWayO3ws-kHWVr294AaABAg,,4,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=UgzYWayO3ws-kHWVr294AaABAg,2024-02-11 02:49:14,0,Watched this movie 5 times. Please make such movies more vanga sir. Pls,http://www.youtube.com/@user-dw7vu8lf2v
39,@amiygupta1880,"No matter what some people say about this film. But this film is better than most bollywood films. Ranbir Kapoor has given his best performance. Action scene especially in hotel scene is virtuoso. For screenwriters, perfect action scenes are the ones which reveal character. This action scene is ideal example. Editing and Acting by Ranbir Kapoor in this action scene are icing and cherry on the cake. Dialogue, Screenplay and Music is great.",Ugw2ElTUkHNoZQb61I94AaABAg,,1,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=Ugw2ElTUkHNoZQb61I94AaABAg,2024-02-09 12:25:46,0,"No matter what some people say about this film. But this film is better than most bollywood films. Ranbir Kapoor has given his best performance. Action scene especially in hotel scene is virtuoso. For screenwriters, perfect action scenes are the ones which reveal character. This action scene is ideal example. Editing and Acting by Ranbir Kapoor in this action scene are icing and cherry on the cake. Dialogue, Screenplay and Music is great.",http://www.youtube.com/@amiygupta1880
40,@Copra1990,😢😮😅😊😢😂❤,UgyplSI7eFRuORLx6RJ4AaABAg,,0,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=UgyplSI7eFRuORLx6RJ4AaABAg,2024-02-09 05:32:56,0,😢😮😅😊😢😂❤,http://www.youtube.com/@Copra1990
41,@Copra1990,Ho9o9i ana mimi,Ugzvd0BGvV4yiPYkwRR4AaABAg,,0,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=Ugzvd0BGvV4yiPYkwRR4AaABAg,2024-02-09 05:30:52,0,Ho9o9i ana mimi,http://www.youtube.com/@Copra1990
42,@Copra1990,حقوقي,Ugwwk31uRO0Ocmv7_wh4AaABAg,,0,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=Ugwwk31uRO0Ocmv7_wh4AaABAg,2024-02-09 05:30:27,0,حقوقي,http://www.youtube.com/@Copra1990
43,@THETRINITYSONS369,You trained me well papa!?💀🕋,UgxZeBfa1r6vqNSpdMN4AaABAg,,1,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=UgxZeBfa1r6vqNSpdMN4AaABAg,2024-02-07 06:01:38,1,You trained me well papa!?💀🕋,http://www.youtube.com/@THETRINITYSONS369
44,@THETRINITYSONS369,That's why lord is just your friend!?❤️‍🔥,UgxZeBfa1r6vqNSpdMN4AaABAg.A-WJU8tBsEDA-WJqDVGbCx,@THETRINITYSONS369,1,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=UgxZeBfa1r6vqNSpdMN4AaABAg.A-WJU8tBsEDA-WJqDVGbCx,2024-02-07 06:04:47,0,That's why lord is just your friend!?❤️‍🔥,http://www.youtube.com/@THETRINITYSONS369
45,@saimpathan2454,0:52,UgxSMEIeqP9jqThRkiB4AaABAg,,0,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=UgxSMEIeqP9jqThRkiB4AaABAg,2024-02-07 04:12:43,0,0:52,http://www.youtube.com/@saimpathan2454
46,@quincyspielberger4366,Poor acting - trying to make believe that Ranbir Kapoor could begin to start to commence to pay a tough guy was just too laughable! He was just way too far out of his realm. Long hair or short hair he still comes across as a sissy.,UgyVFb-g_4Cl9tl5ryZ4AaABAg,,0,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=UgyVFb-g_4Cl9tl5ryZ4AaABAg,2024-02-05 12:08:05,0,Poor acting - trying to make believe that Ranbir Kapoor could begin to start to commence to pay a tough guy was just too laughable! He was just way too far out of his realm. Long hair or short hair he still comes across as a sissy.,http://www.youtube.com/@quincyspielberger4366
47,@bonybony3478,Another women's day special movie thanks Sandeep😂,UgwwnbRYOz95XguFHKF4AaABAg,,3,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=UgwwnbRYOz95XguFHKF4AaABAg,2024-02-05 04:14:22,0,Another women's day special movie thanks Sandeep😂,http://www.youtube.com/@bonybony3478
48,@usmanmani8183,0:22 Criminal paida kiya humne,Ugw1MujLiyN4atS-lG14AaABAg,,0,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=Ugw1MujLiyN4atS-lG14AaABAg,2024-02-04 16:54:08,0,0:22 Criminal paida kiya humne,http://www.youtube.com/@usmanmani8183
49,@milindvaidya433,"Aanbir kapoor give 1000 aprox. crore film but when next Haritik, Ranveer Singh gives blockbuster 1000 crore club film",Ugzx9cWNIeAJMLSrnm14AaABAg,,1,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=Ugzx9cWNIeAJMLSrnm14AaABAg,2024-02-04 11:55:07,0,"Aanbir kapoor give 1000 aprox. crore film but when next Haritik, Ranveer Singh gives blockbuster 1000 crore club film",http://www.youtube.com/@milindvaidya433
50,@kitamoto13,dAVE pATEL COVER,UgxtA4RI5PtvmipJkrZ4AaABAg,,0,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=UgxtA4RI5PtvmipJkrZ4AaABAg,2024-02-02 11:23:55,0,dAVE pATEL COVER,http://www.youtube.com/@kitamoto13
51,@rohansa7463,👍,UgysrZOI5ZbCCHFXjVh4AaABAg,,0,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=UgysrZOI5ZbCCHFXjVh4AaABAg,2024-02-02 06:27:30,0,👍,http://www.youtube.com/@rohansa7463
52,@shankris8887,"This movie  KGF makes me wonder, does India have such a thing called police  army? Or law for that matter🤔",UgxIuoedfgZPovV07Ad4AaABAg,,2,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=UgxIuoedfgZPovV07Ad4AaABAg,2024-02-02 04:26:45,3,"This movie  KGF makes me wonder, does India have such a thing called police  army? Or law for that matter🤔",http://www.youtube.com/@shankris8887
53,@AayushShekhawat-rq9pe,When you watch Indian movies close your brain for 3 hour 😂😂😂,UgxIuoedfgZPovV07Ad4AaABAg.A-JGdsyF0hLA-X7Br5mdl1,@shankris8887,0,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=UgxIuoedfgZPovV07Ad4AaABAg.A-JGdsyF0hLA-X7Br5mdl1,2024-02-07 13:33:31,0,When you watch Indian movies close your brain for 3 hour 😂😂😂,http://www.youtube.com/@AayushShekhawat-rq9pe
54,@rayzzeerrfire1401,At least kgf made sense because of the story but animal had no logics at all like they went to uk to murder someone casually and come back to India after,UgxIuoedfgZPovV07Ad4AaABAg.A-JGdsyF0hLA00d-Tk_87l,@shankris8887,1,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=UgxIuoedfgZPovV07Ad4AaABAg.A-JGdsyF0hLA00d-Tk_87l,2024-02-19 19:16:38,0,At least kgf made sense because of the story but animal had no logics at all like they went to uk to murder someone casually and come back to India after,http://www.youtube.com/@rayzzeerrfire1401
55,@rahul11308,saw john wick ?,UgxIuoedfgZPovV07Ad4AaABAg.A-JGdsyF0hLA0VKPXZ20N4,@shankris8887,0,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=UgxIuoedfgZPovV07Ad4AaABAg.A-JGdsyF0hLA0VKPXZ20N4,2024-03-02 17:21:54,0,saw john wick ?,http://www.youtube.com/@rahul11308
56,@Akbarali12414,What a fuckinggg movie 🔥✊🏻,Ugx7XEiTy6XOQGabx8Z4AaABAg,,2,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=Ugx7XEiTy6XOQGabx8Z4AaABAg,2024-02-02 03:53:33,0,What a fuckinggg movie 🔥✊🏻,http://www.youtube.com/@Akbarali12414
57,@ektasharma5429,Such a pathetic movie,UgwBdxuc6fUai66SRzR4AaABAg,,5,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=UgwBdxuc6fUai66SRzR4AaABAg,2024-02-01 23:33:31,2,Such a pathetic movie,http://www.youtube.com/@ektasharma5429
58,@sharpbrickstudios1020,no u are,UgwBdxuc6fUai66SRzR4AaABAg.A-Ik567zy3lA-PD0JwO-r2,@ektasharma5429,3,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=UgwBdxuc6fUai66SRzR4AaABAg.A-Ik567zy3lA-PD0JwO-r2,2024-02-04 11:50:27,0,no u are,http://www.youtube.com/@sharpbrickstudios1020
59,@rishabhkumar8360,You need brain to understand it,UgwBdxuc6fUai66SRzR4AaABAg.A-Ik567zy3lA-XGk0HP7_O,@ektasharma5429,0,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=UgwBdxuc6fUai66SRzR4AaABAg.A-Ik567zy3lA-XGk0HP7_O,2024-02-07 14:56:58,0,You need brain to understand it,http://www.youtube.com/@rishabhkumar8360
60,@billalsli1591,Pehlay tha maa me a giya maa ab ha papa papa boht kam baqi ha papa,UgzgYPXHPa6Ci0ejMRF4AaABAg,,0,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=UgzgYPXHPa6Ci0ejMRF4AaABAg,2024-02-01 13:30:14,0,Pehlay tha maa me a giya maa ab ha papa papa boht kam baqi ha papa,http://www.youtube.com/@billalsli1591
61,@kapilraghuwanshi6981,"Just watched the movie , damn man what a marvelous movie, if you are trying to watch movie put aside logic and feminism , this movie is totally vibe, is more than 3:20hrs long but you can't get bored even for a single minute ,i have great only negative review about the movie so i think i should not watch it, but I'm fan is Ranbir and Bobby acting so i try to watch it, damn what a fortune , if anyone want entertainer, revenge, vibe, fantasy you should definately watch it and if you want struggle, motivation, inspiration , you should watch 12th fail , can't wait for 2nd part when will be that going to release , believe me whenever this is gonna release I'll be definately be going with my girlfriend can't wait for 2nd part 〽️",UgyjrJHoZlGQ5nEVDy14AaABAg,,2,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=UgyjrJHoZlGQ5nEVDy14AaABAg,2024-02-01 11:38:55,1,"Just watched the movie , damn man what a marvelous movie, if you are trying to watch movie put aside logic and feminism , this movie is totally vibe, is more than 3:20hrs long but you can't get bored even for a single minute ,i have great only negative review about the movie so i think i should not watch it, but I'm fan is Ranbir and Bobby acting so i try to watch it, damn what a fortune , if anyone want entertainer, revenge, vibe, fantasy you should definately watch it and if you want struggle, motivation, inspiration , you should watch 12th fail , can't wait for 2nd part when will be that going to release , believe me whenever this is gonna release I'll be definately be going with my girlfriend can't wait for 2nd part 〽️",http://www.youtube.com/@kapilraghuwanshi6981
62,@sharpbrickstudios1020,omg frrr broo,UgyjrJHoZlGQ5nEVDy14AaABAg.A-HTJJmsjEPA-PD2O5l9fs,@kapilraghuwanshi6981,0,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=UgyjrJHoZlGQ5nEVDy14AaABAg.A-HTJJmsjEPA-PD2O5l9fs,2024-02-04 11:50:43,0,omg frrr broo,http://www.youtube.com/@sharpbrickstudios1020
63,@sosinati3358,Hey Mr Golden Spoon 😂,UgyI4etSjusCbjyrauR4AaABAg,,0,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=UgyI4etSjusCbjyrauR4AaABAg,2024-01-31 18:47:19,0,Hey Mr Golden Spoon 😂,http://www.youtube.com/@sosinati3358
64,@premshankarpal7331,Love ❤,UgyV0BHCKm3oTXhPRFt4AaABAg,,0,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=UgyV0BHCKm3oTXhPRFt4AaABAg,2024-01-31 11:34:13,0,Love ❤,http://www.youtube.com/@premshankarpal7331
65,@shivammori2137,Whose the people watch teaser after watch movie!!❤,UgwRiiG2G9qR0qPK0dZ4AaABAg,,0,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=UgwRiiG2G9qR0qPK0dZ4AaABAg,2024-01-31 07:24:55,0,Whose the people watch teaser after watch movie!!❤,http://www.youtube.com/@shivammori2137
66,@Tboyyyy1,God damn 79million views,UgwVnzLT4hL33gcwfd94AaABAg,,0,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=UgwVnzLT4hL33gcwfd94AaABAg,2024-01-30 23:36:36,0,God damn 79million views,http://www.youtube.com/@Tboyyyy1
67,@TajinderSingh86850,0:11 to 0:22 koi banda mere ko ye audio bta do khana milega,UgwUjweoDYf9P7T_ZaR4AaABAg,,1,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=UgwUjweoDYf9P7T_ZaR4AaABAg,2024-01-30 14:24:19,1,0:11 to 0:22 koi banda mere ko ye audio bta do khana milega,http://www.youtube.com/@TajinderSingh86850
68,@YashSitani18,Animal Nude Walk Search kar mil jayega,UgwUjweoDYf9P7T_ZaR4AaABAg.A-CbduGyeD_A01JWT7x2ll,@TajinderSingh86850,1,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=UgwUjweoDYf9P7T_ZaR4AaABAg.A-CbduGyeD_A01JWT7x2ll,2024-02-20 01:36:53,0,Animal Nude Walk Search kar mil jayega,http://www.youtube.com/@YashSitani18
69,@arunmk5388,01:44 😂 i always use this dialogue in the middle of talk,UgwICwHefB_k4PxWPJJ4AaABAg,,0,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=UgwICwHefB_k4PxWPJJ4AaABAg,2024-01-30 12:25:26,0,01:44 😂 i always use this dialogue in the middle of talk,http://www.youtube.com/@arunmk5388
70,@unnikannan9531,Director doesn't know continue the movie with sex or violence .Unnecessary inserting sex scenes and sex topics.,Ugxeh17KxEDxwq0pYVB4AaABAg,,1,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=Ugxeh17KxEDxwq0pYVB4AaABAg,2024-01-30 03:16:01,0,Director doesn't know continue the movie with sex or violence .Unnecessary inserting sex scenes and sex topics.,http://www.youtube.com/@unnikannan9531
71,@user-fv1tv7ye4e,This film is spreading negativity ....,Ugztdm2zvbumtCxXWrF4AaABAg,,2,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=Ugztdm2zvbumtCxXWrF4AaABAg,2024-01-29 23:55:11,0,This film is spreading negativity ....,http://www.youtube.com/@user-fv1tv7ye4e
